,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Glace Bay,81.0,2531.0,25.0,16605.0,32.0,17076.0,34.0,20721.0,34.0,25154.0,58.0,24136.0,77.0,24258.0,72.0,43584.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sydney Mines,82.0,2526.0,-1.0,0.0,61.0,8381.0,-1.0,0.0,95.0,8282.0,-1.0,0.0,-1.0,0.0,90.0,34097.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Saguenay,83.0,2364.0,55.0,5880.0,59.0,8937.0,53.0,11921.0,51.0,15975.0,63.0,23111.0,14.0,133294.0,22.0,131924.0,21.0,185426.0,28.0,160947.0,29.0,160973.0,25.0,161163.0
Newmarket,84.0,2192.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,65788.0,-1.0,0.0
Magog,85.0,2131.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,87.0,9051.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Riviere du Loup,86.0,2128.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,90.0,8752.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Brampton,87.0,2122.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,18553.0,44.0,73602.0,27.0,149036.0,23.0,234426.0,17.0,325428.0,-1.0,0.0
Lethbridge,88.0,2072.0,33.0,12073.0,49.0,11198.0,56.0,10950.0,50.0,16568.0,44.0,31194.0,42.0,41472.0,61.0,51840.0,63.0,64889.0,59.0,81021.0,52.0,100238.0,33.0,111299.0
Saint-Jean-sur-Richelieu,89.0,2046.0,48.0,6721.0,48.0,11396.0,55.0,11396.0,61.0,13694.0,57.0,24254.0,49.0,34640.0,65.0,48064.0,69.0,60789.0,76.0,68497.0,67.0,75149.0,46.0,81802.0
Sudbury,90.0,2027.0,59.0,4150.0,60.0,8621.0,38.0,18554.0,23.0,32200.0,30.0,46040.0,17.0,110748.0,19.0,172524.0,26.0,149919.0,30.0,157623.0,32.0,155219.0,23.0,168197.0
Welland,91.0,2004.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,67.0,12523.0,92.0,15956.0,48.0,36151.0,69.0,44220.0,82.0,45467.0,99.0,46934.0,-1.0,0.0,55.0,60540.0
Drummondville,92.0,2001.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,76.0,10675.0,50.0,26458.0,45.0,39301.0,71.0,43584.0,75.0,54480.0,78.0,68160.0,65.0,76599.0,40.0,93046.0
Saint-Vital,93.0,1896.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,60.0,29401.0,95.0,33081.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Oakville,94.0,1840.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,58.0,61497.0,54.0,75897.0,43.0,114732.0,35.0,144738.0,-1.0,0.0
Lachute,95.0,1822.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Preston,96.0,1805.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sainte-Therese,97.0,1727.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Saint-Laurent,98.0,1703.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,37.0,35827.0,-1.0,0.0,54.0,63140.0,61.0,65909.0,69.0,72422.0,64.0,77391.0,-1.0,0.0
Grand Falls,99.0,1688.0,-1.0,0.0,76.0,3846.0,74.0,4564.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Verdun,-1.0,0.0,16.0,25086.0,12.0,42291.0,11.0,60772.0,12.0,67346.0,16.0,77638.0,26.0,78360.0,43.0,74574.0,68.0,61340.0,83.0,61356.0,87.0,60564.0,-1.0,0.0
Medicine Hat,-1.0,0.0,27.0,16019.0,56.0,9663.0,59.0,9579.0,62.0,12939.0,67.0,20661.0,72.0,25310.0,-1.0,0.0,78.0,49621.0,91.0,52704.0,85.0,60924.0,47.0,76156.0
Westmount,-1.0,0.0,28.0,14678.0,30.0,17630.0,26.0,24377.0,32.0,26031.0,56.0,24337.0,74.0,25021.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Saint Boniface,-1.0,0.0,30.0,13821.0,43.0,12955.0,43.0,16358.0,39.0,21667.0,46.0,28648.0,39.0,45539.0,67.0,46720.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Moose Jaw,-1.0,0.0,31.0,13812.0,-1.0,0.0,36.0,19078.0,36.0,23181.0,45.0,29349.0,52.0,33222.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,32546.0
Amherst,-1.0,0.0,41.0,9048.0,54.0,10032.0,64.0,7519.0,91.0,8630.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Nelson,-1.0,0.0,47.0,7068.0,71.0,5264.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Prince Albert,-1.0,0.0,52.0,6346.0,64.0,7901.0,57.0,9978.0,57.0,14533.0,71.0,20201.0,69.0,26121.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,65.0,45024.0
Wetaskiwin,-1.0,0.0,56.0,4539.0,84.0,2104.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kamloops,-1.0,0.0,57.0,4501.0,70.0,6167.0,67.0,6201.0,97.0,8099.0,-1.0,0.0,93.0,18748.0,70.0,43818.0,57.0,71910.0,61.0,79928.0,54.0,89329.0,36.0,102072.0
Prince Rupert,-1.0,0.0,58.0,4238.0,69.0,6427.0,66.0,6441.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Red Deer,-1.0,0.0,63.0,2441.0,83.0,2346.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,73.0,25237.0,-1.0,0.0,80.0,46402.0,86.0,58149.0,79.0,67707.0,41.0,89715.0
Kalowna,-1.0,0.0,64.0,1661.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Whitehorse,-1.0,0.0,65.0,755.0,86.0,353.0,80.0,529.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kitchener,-1.0,0.0,-1.0,0.0,25.0,21887.0,20.0,30830.0,21.0,35756.0,21.0,59242.0,12.0,154923.0,16.0,224420.0,14.0,287871.0,13.0,378687.0,11.0,439937.0,9.0,517328.0
Sault Sainte Marie,-1.0,0.0,-1.0,0.0,27.0,21077.0,29.0,23108.0,33.0,25810.0,36.0,37129.0,32.0,58578.0,35.0,95329.0,46.0,87093.0,51.0,101829.0,68.0,74566.0,45.0,82212.0
Saint Catharines,-1.0,0.0,-1.0,0.0,28.0,19931.0,25.0,24801.0,27.0,30305.0,33.0,39454.0,20.0,95623.0,11.0,303453.0,12.0,304463.0,14.0,364610.0,-1.0,0.0,-1.0,0.0
Outremont,-1.0,0.0,-1.0,0.0,42.0,13271.0,24.0,28633.0,26.0,30869.0,48.0,28369.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
North Bay,-1.0,0.0,-1.0,0.0,51.0,10717.0,44.0,15552.0,53.0,15603.0,69.0,20437.0,51.0,33516.0,63.0,49188.0,73.0,57182.0,81.0,63363.0,89.0,59262.0,49.0,74078.0
Shawinigan,-1.0,0.0,-1.0,0.0,52.0,10661.0,46.0,15355.0,41.0,20380.0,47.0,28543.0,29.0,63527.0,57.0,61548.0,66.0,62710.0,82.0,61754.0,95.0,52040.0,59.0,54669.0
