,city,c1900,city.1,c1910,city.2,c1920,city.3,c1930,city.4,c1940,city.5,c1950,city.6,c1960,city.7,c1970,city.8,c1980,city.9,c1990,city.10,2000,city.11,2010
Salt Lake City,54,53537,50,92877,52,118125,56,140327,56,149929,51,182147,64,189526,73,175936,89,163005,-1,0,-1,0,-1,0
San Antonio,55,53391,49,96654,40,161452,37,231517,35,253947,24,408492,16,587745,14,654289,10,785973,9,935984,8,1144610,6,1327407
Erie,56,52778,67,66574,64,93409,65,116081,69,117017,75,130808,87,138429,-1,0,-1,0,-1,0,-1,0,-1,0
Elizabeth,57,52177,60,73401,63,95813,67,114967,75,109914,88,112802,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yonkers,59,47927,57,79860,61,100213,59,134622,60,142638,65,152826,63,190669,62,204314,71,195413,83,188178,95,196171,-1,0
Norfolk,60,46647,65,67554,53,115835,60,129748,59,144359,47,213508,40,304962,46,308097,54,267055,61,261237,72,234441,85,242803
Fort Wayne,61,45186,70,63974,68,86575,68,114968,68,118454,72,133660,78,161888,71,177756,79,172484,98,173155,83,205766,76,253691
Youngstown,62,44970,58,79137,48,132491,44,170051,49,167745,57,168330,75,166702,97,140149,-1,0,-1,0,-1,0,-1,0
Houston,63,44626,59,78858,44,138389,25,292460,20,384548,13,596221,6,938268,5,1232834,4,1595125,3,1630641,3,1953681,3,2100263
Akron,64,42777,64,69149,31,208418,34,255058,37,244900,38,274670,43,290437,51,275422,58,237483,70,223057,80,217160,-1,0
Dallas,65,42644,51,92145,41,159053,32,260592,30,294705,21,434594,13,679791,7,844426,6,904637,7,1006929,7,1188615,8,1197816
Lincoln,66,40256,83,44086,92,54931,94,75919,94,82080,98,98948,95,128580,91,149550,80,171924,80,192008,75,225679,71,258379
Augusta-Richmond,67,39454,87,41012,95,52564,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,199804,-1,0
Honolulu,68,39395,74,52240,70,83398,58,137617,45,179303,42,248087,41,294232,43,324988,35,365003,43,365309,45,371743,51,390738
Mobile,69,38579,77,51572,85,60899,98,68293,98,78703,78,129040,61,194981,67,190085,70,200590,78,196305,91,198931,-1,0
Birmingham,70,38481,35,132755,35,178850,33,259727,34,267645,33,326088,34,340939,47,300997,49,284443,59,266006,70,242870,-1,0
Little Rock,71,38386,78,45971,84,65121,89,81778,89,88056,96,102234,-1,0,-1,0,95,159218,95,175871,-1,0,-1,0
Tacoma,72,37768,55,83757,62,97099,72,106891,76,109480,66,143779,83,148080,88,154682,97,158592,94,176750,98,193685,-1,0
Spokane,73,36806,45,104450,59,104451,66,115547,66,122072,63,161702,67,181675,79,170548,81,171377,93,177251,96,195659,-1,0
South Bend,74,36040,72,53727,81,71091,76,104215,81,101362,86,115966,91,132419,-1,0,-1,0,-1,0,-1,0,-1,0
Allentown,75,35485,75,51957,77,73581,83,92654,86,96938,92,106860,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Topeka,77,33639,84,43781,98,50027,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Knoxville,78,32611,95,36317,73,77837,74,105848,73,111683,82,124878,-1,0,75,174684,76,175093,-1,0,-1,0,-1,0
Davenport,79,32382,85,43088,89,56715,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rockford,80,31150,80,45480,83,65793,85,85941,92,84642,-1,0,97,126720,93,147419,-1,0,-1,0,-1,0,-1,0
Montgomery,81,30357,93,38131,-1,0,99,66167,99,78190,94,106581,89,134404,-1,0,75,177905,85,187101,86,201697,-1,0
Chattanooga,82,30271,82,44671,87,57907,64,119894,65,128299,74,131057,92,130082,-1,0,87,169523,-1,0,-1,0,-1,0
Joliet,83,29449,99,34740,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sacramento,84,29319,81,44788,82,65947,82,93890,78,106017,68,137668,62,191729,54,254403,51,275706,40,369412,39,407038,34,466488
Waterbury,85,28699,79,45961,78,73197,84,91772,83,99937,97,99311,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Jacksonville,86,28409,71,57705,66,91649,61,129527,47,173156,48,204579,59,201040,22,528986,18,571078,14,635276,13,735628,11,821784
Pueblo,87,28249,86,41734,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Fort Worth,88,26755,61,73335,58,106592,47,163447,46,177797,37,278895,33,356303,32,393520,32,385258,27,447688,26,534759,15,741206
Lexington-Fayette,89,26440,97,35195,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,67,204244,69,225416,63,260527,60,295803
Cedar Rapids,90,25710,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Wichita,91,24737,73,52502,79,72240,70,111109,70,115052,56,168354,49,254788,50,276615,50,279884,50,304013,49,344349,47,382368
Aurora,92,24173,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,158694,71,222137,60,276485,54,325078
Macon,93,23320,88,40703,94,53024,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Austin,95,22317,-1,0,-1,0,-1,0,90,87977,73,132512,66,186504,55,251864,41,345904,26,465695,15,656683,10,790390
Roanoke,96,21533,98,34953,97,50874,97,69254,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
San Jose,97,21588,-1,0,-1,0,-1,0,-1,0,-1,0,56,204229,30,445824,16,629456,10,782210,10,894928,9,945942
Colorado Springs,98,21172,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,65,215157,53,281111,47,360932,39,416427
Columbia,99,21128,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Oklahoma City,-1,0,69,64223,67,91336,42,185444,41,204452,44,243501,35,324331,36,366584,30,404094,28,444776,28,506126,26,579999
Berkeley,-1,0,89,40480,90,56020,88,82179,91,85509,87,113824,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
San Diego,-1,0,90,39652,76,74418,52,148035,42,203347,30,334408,17,573278,13,696816,7,875545,5,1110559,6,1223437,7,1307402
El Paso,-1,0,91,39371,74,77614,77,102413,87,96899,76,130538,44,276723,44,322398,27,425369,21,515347,22,563758,19,649121
Flint,-1,0,92,38613,65,91643,49,156582,55,151597,61,163193,60,196944,66,193337,94,159684,-1,0,-1,0,-1,0
Tampa,-1,0,94,37838,96,51666,79,101247,77,108486,83,124734,46,275055,49,277805,52,271695,54,280053,56,303412,53,335709
Tulsa,-1,0,-1,0,80,72145,55,141358,61,142285,50,182752,48,261725,42,331654,36,360940,42,367382,42,393095,46,391906
Lansing,-1,0,-1,0,88,57310,90,78483,97,78843,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Gary,-1,0,-1,0,91,55484,80,100494,72,111709,71,133977,69,178312,74,175478,-1,0,-1,0,-1,0,-1,0
Portsmouth,-1,0,-1,0,93,54433,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Winston-Salem,-1,0,-1,0,99,48497,95,75378,96,79880,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,229617
Miami,-1,0,-1,0,-1,0,71,110655,48,172208,40,249393,42,291718,41,334907,40,346779,45,358523,46,362567,43,399457
Charlotte,-1,0,-1,0,-1,0,87,82731,82,100992,70,134058,57,201625,59,241241,46,315541,34,395914,25,540819,16,731424
Shreveport,-1,0,-1,0,-1,0,92,76745,84,98295,80,127294,76,164479,68,182129,66,207056,76,198521,87,200157,-1,0
Pasadena,-1,0,-1,0,-1,0,93,76122,95,81973,95,104640,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Long Beach,-1,0,-1,0,-1,0,-1,0,62,142021,59,164353,50,250819,40,344272,37,358662,31,429472,33,461513,36,462257
Glendale,-1,0,-1,0,-1,0,-1,0,93,82652,-1,0,-1,0,-1,0,-1,0,91,180086,79,218884,88,226721
Arlington,-1,0,-1,0,-1,0,-1,0,-1,0,60,163485,72,174344,76,174387,93,160132,60,261718,52,333002,49,365438
Baton Rouge,-1,0,-1,0,-1,0,-1,0,-1,0,81,125688,80,152478,82,166063,61,220444,72,219524,73,227828,96,229493
Corpus Christi,-1,0,-1,0,-1,0,-1,0,-1,0,91,108382,74,167750,61,204570,59,232200,63,257539,59,277528,57,305215
Phoenix,-1,0,-1,0,-1,0,-1,0,-1,0,93,106857,28,439254,19,581613,8,789750,8,983474,5,1321017,5,1445632
Jackson,-1,0,-1,0,-1,0,-1,0,-1,0,99,98313,84,144478,90,154097,69,202983,77,196653,-1,0,-1,0
Tucson,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,53,212974,52,262947,44,330512,32,405420,29,486778,32,520116
Albuquerque,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,201249,57,243871,43,332923,37,384783,34,448649,31,545852
Saint Petersburg,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68,181331,60,216260,57,238671,64,238631,67,248296,-1,0
Amarillo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,138046,-1,0,-1,0,-1,0,-1,0,-1,0
Fresno,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,133904,83,166045,64,217506,46,354278,36,427794,33,494665
Lubbock,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,128763,92,149130,78,174446,86,186234,89,199669,82,229573
Madison,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,126705,77,173358,82,170639,81,191337,82,208157,83,233209
Greensboro,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,119615,95,144191,99,155651,87,183577,76,223936,67,269666
Warren,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,69,179303,92,161127,-1,0,-1,0,-1,0
Virginia Beach,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,172172,55,262240,36,393151,37,425314,40,437994
Anaheim,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,166719,62,219589,58,266472,54,328018,55,336265
Santa Ana,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,156630,68,204019,51,293757,50,338078,56,324528
Riverside,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,140105,83,170691,67,226505,66,255266,58,303871
Fort Lauderdale,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,139656,-1,0,-1,0,-1,0,-1,0
Anchorage,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,174453,68,226362,64,260363,64,291826
Huntington Beach,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,170502,89,181516,-1,0,-1,0
Las Vegas,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,164800,62,258306,32,478435,27,583756
Mesa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,52,288146,41,396460,37,439041
Stockton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,73,210915,69,243854,61,291707
Raleigh,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,208003,61,276102,41,403892
Hialeah,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,188044,74,226496,89,224669
Garland,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,180783,81,215896,90,226876
Bakersfield,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,174853,68,247145,52,347483
Fremont,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,173339,84,203494,95,214089
Plano,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,222023,68,259841
Scottsdale,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,202780,91,217385
Chesapeake,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,199237,93,222209
Irving,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,191682,92,216290
