CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,SovietEpoch
,,,New Westminster,,,,,,Logrono,,,,,,Padova,,,,,,Jiquilpan de Jimenez,,,,,,Sunderland,,,,,,,,,,,,Greensboro,,,,,,Douai - Lens,,,,Lviv
,,,Niagara Falls,,,,,,Lorca,,,,,,Parma,,,,,,La Paz,,,,,,Swansea,,,,,,,,,,,,Honolulu,,,,,,Draguignan,,,,magnitgorsk
,,,North York,,,,,,Luarca,,,,,,Pavia,,,,,,La Piedad - Penjamo,,,,,,Wakefield,,,,,,,,,,,,Indianapolis,,,,,,Dunkerque,,,,mahachkala
,,,Oakville,,,,,,Lugo,,,,,,Perugia,,,,,,La Piedad Cavadas,,,,,,Walsall,,,,,,,,,,,,Irvine,,,,,,Epinal,,,,majkop
,,,Oshawa,,,,,,Manresa,,,,,,Pesaro,,,,,,Linares,,,,,,Wirral,,,,,,,,,,,,Jacksonville,,,,,,Forbach,,,,Makiivka
,,,Outremont,,,,,,Mataro,,,,,,Pescara,,,,,,Los Mochis,,,,,,Wolverhampton,,,,,,,,,,,,Jersey City,,,,,,Frejus,,,,mangan
,,,Peterborough,,,,,,Melilla,,,,,,Piacenza,,,,,,Matehuala,,,,,,,,,,,,,,,,,,Kansas City,,,,,,Grenoble,,,,Maryoupol
,,,Prince George,,,,,,Mieres,,,,,,Pisa,,,,,,Mazatlan,,,,,,,,,,,,,,,,,,Knoxville,,,,,,La Rochelle,,,,michurinsk
,,,Regina,,,,,,Orihuela,,,,,,Pistoia,,,,,,Merida,,,,,,,,,,,,,,,,,,Las Vegas,,,,,,La Teste-de-Buch - Arcachon,,,,Mikolaiv
,,,Richmond,,,,,,Ourense,,,,,,Prato,,,,,,Mexicali,,,,,,,,,,,,,,,,,,Lexington-Fayette,,,,,,Laval,,,,Mogileu
,,,Saanich,,,,,,Oviedo,,,,,,Ravenna,,,,,,Minatitlan,,,,,,,,,,,,,,,,,,Lincoln,,,,,,Le Havre,,,,morshansk
,,,Saguenay,,,,,,Palencia,,,,,,Reggio di Calabria,,,,,,Monclova,,,,,,,,,,,,,,,,,,Long Beach,,,,,,Le Mans,,,,murmansk
,,,Saint Boniface,,,,,,Palma de Mallorca,,,,,,Reggio nellEmilia,,,,,,Morelia,,,,,,,,,,,,,,,,,,Louisville,,,,,,Limoges,,,,Nizhin
,,,Saint Catharines,,,,,,Palmas de Gran Canaria,,,,,,Rimini,,,,,,Nueva Rosita,,,,,,,,,,,,,,,,,,Lowell,,,,,,Lorient,,,,nizhntagil
,,,Saint John,,,,,,Pamplona,,,,,,Salerno,,,,,,Nuevo Laredo,,,,,,,,,,,,,,,,,,Lubbock,,,,,,Maubeuge,,,,novcherkask
,,,Saint Johns,,,,,,Pontevedra,,,,,,Sassari,,,,,,Oaxaca,,,,,,,,,,,,,,,,,,Madison,,,,,,Meaux,,,,novokuzneck
,,,Saint-Hubert,,,,,,Reus,,,,,,Sesto San Giovanni,,,,,,Ocotlan,,,,,,,,,,,,,,,,,,Memphis,,,,,,Metz,,,,novrossijsk
,,,Saint-Hyacinthe,,,,,,Ronda,,,,,,Siena,,,,,,Orizaba,,,,,,,,,,,,,,,,,,Miami,,,,,,Montauban,,,,Okhtirka
,,,Saint-Jerome,,,,,,Roquetas de Mar,,,,,,Siracusa,,,,,,Pachuca,,,,,,,,,,,,,,,,,,Milwaukee,,,,,,Montbeliard,,,,Oral
,,,Saint-Thomas,,,,,,Sabadell,,,,,,Taranto,,,,,,Papantla de Olarte,,,,,,,,,,,,,,,,,,Minneapolis,,,,,,Montpellier,,,,orenburg
,,,Sarnia,,,,,,Salamanca,,,,,,Terni,,,,,,Piedras Negras,,,,,,,,,,,,,,,,,,Mobile,,,,,,Mulhouse,,,,orjol
,,,Saskatoon,,,,,,San Cristobal de la Laguna,,,,,,Torre Annunziata,,,,,,Poza Rica,,,,,,,,,,,,,,,,,,Montgomery,,,,,,Nancy,,,,orsk
,,,Sault Sainte Marie,,,,,,San Fernando,,,,,,Torre del Greco,,,,,,Puruandiro,,,,,,,,,,,,,,,,,,Nashville-Davidson,,,,,,Nantes,,,,P_rnu
,,,Scarborough,,,,,,Sanlucar de Barrameda,,,,,,Trapani,,,,,,Queretaro,,,,,,,,,,,,,,,,,,New Haven,,,,,,Nevers,,,,penza
,,,Sherbrooke,,,,,,Santa Cruz de Tenerife,,,,,,Trento,,,,,,Reynosa,,,,,,,,,,,,,,,,,,New Orleans,,,,,,Nimes,,,,Poltava
,,,Sorel,,,,,,Santander,,,,,,Trieste,,,,,,Rioverde,,,,,,,,,,,,,,,,,,Newark,,,,,,Niort,,,,prokopjevsk
,,,St. Johns,,,,,,Santiago de Compostela,,,,,,Udine,,,,,,Rosario,,,,,,,,,,,,,,,,,,Norfolk,,,,,,Orleans,,,,rjazan
,,,Stratford,,,,,,Talavera de la Reina,,,,,,Venezia,,,,,,Salamanca,,,,,,,,,,,,,,,,,,Oakland,,,,,,Pau,,,,rzhev
,,,Sudbury,,,,,,Tarragona,,,,,,Verona,,,,,,Saltillo,,,,,,,,,,,,,,,,,,Oklahoma City,,,,,,Perigueux,,,,Samarkand
,,,Swift Current,,,,,,Telde,,,,,,Vicenza,,,,,,San Cristobal de las Casas,,,,,,,,,,,,,,,,,,Omaha,,,,,,Perpignan,,,,saratov
,,,Sydney,,,,,,Terrassa,,,,,,Vigevano,,,,,,San Francisco del Rincon,,,,,,,,,,,,,,,,,,Paterson,,,,,,Poitiers,,,,serpuhov
,,,Thetford Mines,,,,,,Tineo,,,,,,,,,,,,San Luis Potosi,,,,,,,,,,,,,,,,,,Peoria,,,,,,Quimper,,,,Sevastopol
,,,Thunder Bay,,,,,,Toledo,,,,,,,,,,,,San Miguel de Allende,,,,,,,,,,,,,,,,,,Phoenix,,,,,,Reims,,,,Shymkent
,,,Timmins,,,,,,Tortosa,,,,,,,,,,,,Silao,,,,,,,,,,,,,,,,,,Pittsburgh,,,,,,Rennes,,,,Simferopol
,,,Trois-Rivieres,,,,,,Utrera,,,,,,,,,,,,Tampico,,,,,,,,,,,,,,,,,,Plano,,,,,,Roanne,,,,smolensk
,,,Verdun,,,,,,Valdes,,,,,,,,,,,,Tapachula,,,,,,,,,,,,,,,,,,Portland,,,,,,Rouen,,,,Stakhanov/Brianka
,,,Victoria,,,,,,Valladolid,,,,,,,,,,,,Tehuacan,,,,,,,,,,,,,,,,,,Providence,,,,,,Saint-Brieuc,,,,stavropolj
,,,Waterloo,,,,,,Velez-Malaga,,,,,,,,,,,,Tehuantepec - Salina Cruz,,,,,,,,,,,,,,,,,,Richmond,,,,,,Saint-Etienne,,,,syzranj
,,,Westmount,,,,,,Vigo,,,,,,,,,,,,Tepic,,,,,,,,,,,,,,,,,,Rochester,,,,,,Saint-Just-Saint-Rambert,,,,taganrog
,,,Windsor,,,,,,Vitoria-Gasteiz,,,,,,,,,,,,Teziutlan,,,,,,,,,,,,,,,,,,Rockford,,,,,,Saint-Nazaire,,,,tambov
,,,Yarmouth,,,,,,Yecla,,,,,,,,,,,,Tijuana,,,,,,,,,,,,,,,,,,Sacramento,,,,,,Saint-Quentin,,,,Tartu
,,,,,,,,,Zamora,,,,,,,,,,,,Tlaxcala - Apizaco,,,,,,,,,,,,,,,,,,Saint Paul,,,,,,Sete,,,,tjumen
,,,,,,,,,,,,,,,,,,,,,Toluca,,,,,,,,,,,,,,,,,,Saint Petersburg,,,,,,Strasbourg,,,,tobolsk
,,,,,,,,,,,,,,,,,,,,,Tuxpam,,,,,,,,,,,,,,,,,,Salt Lake City,,,,,,Tarbes,,,,toljatti
,,,,,,,,,,,,,,,,,,,,,Tuxtla Gutierrez,,,,,,,,,,,,,,,,,,San Antonio,,,,,,Thionville,,,,tomsk
,,,,,,,,,,,,,,,,,,,,,Uruapan,,,,,,,,,,,,,,,,,,San Diego,,,,,,Toulon,,,,torzhok
,,,,,,,,,,,,,,,,,,,,,Valle de Santiago,,,,,,,,,,,,,,,,,,San Francisco,,,,,,Toulouse,,,,tver
,,,,,,,,,,,,,,,,,,,,,Veracruz,,,,,,,,,,,,,,,,,,San Jose,,,,,,Tours,,,,ufa
,,,,,,,,,,,,,,,,,,,,,Villahermosa,,,,,,,,,,,,,,,,,,Santa Ana,,,,,,Troyes,,,,ulanude
,,,,,,,,,,,,,,,,,,,,,Xalapa,,,,,,,,,,,,,,,,,,Savannah,,,,,,Valence,,,,vladikavkaz
,,,,,,,,,,,,,,,,,,,,,Zacatecas - Guadalupe,,,,,,,,,,,,,,,,,,Seattle,,,,,,Valenciennes,,,,vladimir
,,,,,,,,,,,,,,,,,,,,,Zapotlanejo,,,,,,,,,,,,,,,,,,Shreveport,,,,,,Vichy,,,,vladivostok
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Bend,,,,,,Vienne,,,,vnovgorod
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spokane,,,,,,,,,,volgograd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springfield,,,,,,,,,,voljsk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syracuse,,,,,,,,,,voronezh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tacoma,,,,,,,,,,Zaporizhzha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,,,,,,,,,Zhitomir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toledo,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tucson,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tulsa,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Beach,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wichita,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worcester,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonkers,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youngstown,,,,,,,,,,
